"DateTime","Amyotrophic lateral sclerosis[en]","Amyotrophe Lateralsklerose[de]","Sclérose latérale amyotrophique[fr]","Ice Bucket Challenge[en]"
"2008-07-30 00:00:00",2806,1300,337,0
"2008-07-31 00:00:00",3095,1023,323,0
"2008-08-01 00:00:00",2840,1098,338,0
"2008-08-02 00:00:00",2188,747,257,0
"2008-08-03 00:00:00",2145,844,208,0
"2008-08-04 00:00:00",2725,1237,309,0
"2008-08-05 00:00:00",2699,1005,291,0
"2008-08-06 00:00:00",2711,968,285,0
"2008-08-07 00:00:00",2658,909,281,0
"2008-08-08 00:00:00",2144,898,290,0
"2008-08-09 00:00:00",1734,654,186,0
"2008-08-10 00:00:00",1896,849,205,0
"2008-08-11 00:00:00",2487,1143,272,0
"2008-08-12 00:00:00",2567,1136,312,0
"2008-08-13 00:00:00",2537,1110,278,0
"2008-08-14 00:00:00",2334,1022,294,0
"2008-08-15 00:00:00",2099,855,241,0
"2008-08-16 00:00:00",1704,635,194,0
"2008-08-17 00:00:00",2066,712,208,0
"2008-08-18 00:00:00",2674,1036,295,0
"2008-08-19 00:00:00",2709,1028,362,0
"2008-08-20 00:00:00",2602,1084,286,0
"2008-08-21 00:00:00",3138,929,294,0
"2008-08-22 00:00:00",2407,821,270,0
"2008-08-23 00:00:00",1943,623,190,0
"2008-08-24 00:00:00",1937,722,203,0
"2008-08-25 00:00:00",2629,1100,358,0
"2008-08-26 00:00:00",2630,1040,331,0
"2008-08-27 00:00:00",2868,1006,318,0
"2008-08-28 00:00:00",2604,975,354,0
"2008-08-29 00:00:00",2313,1124,293,0
"2008-08-30 00:00:00",1919,604,191,0
"2008-08-31 00:00:00",2023,771,381,0
"2008-09-01 00:00:00",2853,1208,752,0
"2008-09-02 00:00:00",2828,1090,418,0
"2008-09-03 00:00:00",2800,1148,431,0
"2008-09-04 00:00:00",2761,1146,432,0
"2008-09-05 00:00:00",3000,1321,488,0
"2008-09-06 00:00:00",2487,882,290,0
"2008-09-07 00:00:00",2473,971,348,0
"2008-09-08 00:00:00",3262,1215,414,0
"2008-09-09 00:00:00",4645,1256,515,0
"2008-09-10 00:00:00",8405,1685,617,0
"2008-09-11 00:00:00",5398,1133,454,0
"2008-09-12 00:00:00",3773,1042,424,0
"2008-09-13 00:00:00",2634,739,306,0
"2008-09-14 00:00:00",2963,779,280,0
"2008-09-15 00:00:00",4230,1010,452,0
"2008-09-16 00:00:00",4169,1066,527,0
"2008-09-17 00:00:00",3968,1153,515,0
"2008-09-18 00:00:00",3120,955,345,0
"2008-09-19 00:00:00",3606,952,390,0
"2008-09-20 00:00:00",2778,661,310,0
"2008-09-21 00:00:00",3645,930,353,0
"2008-09-22 00:00:00",5021,1154,485,0
"2008-09-23 00:00:00",4474,1239,418,0
"2008-09-24 00:00:00",5155,1092,402,0
"2008-09-25 00:00:00",3650,1039,449,0
"2008-09-26 00:00:00",3570,942,338,0
"2008-09-27 00:00:00",2273,624,301,0
"2008-09-28 00:00:00",2637,706,294,0
"2008-09-29 00:00:00",3694,994,536,0
"2008-09-30 00:00:00",3566,1090,505,0
"2008-10-01 00:00:00",3377,1072,414,0
"2008-10-02 00:00:00",3436,1034,410,0
"2008-10-03 00:00:00",3818,953,366,0
"2008-10-04 00:00:00",2372,943,322,0
"2008-10-05 00:00:00",2491,1058,242,0
"2008-10-06 00:00:00",4216,1204,474,0
"2008-10-07 00:00:00",3552,1052,470,0
"2008-10-08 00:00:00",3726,1904,617,0
"2008-10-09 00:00:00",4533,1814,625,0
"2008-10-10 00:00:00",4693,1269,433,0
"2008-10-11 00:00:00",3020,804,290,0
"2008-10-12 00:00:00",2938,960,878,0
"2008-10-13 00:00:00",4619,1268,838,0
"2008-10-14 00:00:00",3638,1174,571,0
"2008-10-15 00:00:00",3521,1234,492,0
"2008-10-16 00:00:00",3376,1660,501,0
"2008-10-17 00:00:00",3003,1496,1383,0
"2008-10-18 00:00:00",2215,847,483,0
"2008-10-19 00:00:00",2489,996,381,0
"2008-10-20 00:00:00",3532,1270,509,0
"2008-10-21 00:00:00",1512,558,110,0
"2008-10-22 00:00:00",2095,804,312,0
"2008-10-23 00:00:00",3326,1270,428,0
"2008-10-24 00:00:00",5006,2207,364,0
"2008-10-25 00:00:00",2777,1066,311,0
"2008-10-26 00:00:00",2694,1060,358,0
"2008-10-27 00:00:00",3766,1328,501,0
"2008-10-28 00:00:00",3498,1351,390,0
"2008-10-29 00:00:00",3646,2640,918,0
"2008-10-30 00:00:00",3306,1306,714,0
"2008-10-31 00:00:00",2747,967,411,0
"2008-11-01 00:00:00",2659,1102,447,0
"2008-11-02 00:00:00",2896,1178,443,0
"2008-11-03 00:00:00",4220,1359,704,0
"2008-11-04 00:00:00",3695,1402,593,0
"2008-11-05 00:00:00",3051,1130,490,0
"2008-11-06 00:00:00",3515,1169,536,0
"2008-11-07 00:00:00",3390,1095,581,0
"2008-11-08 00:00:00",3417,782,450,0
"2008-11-09 00:00:00",3057,1091,526,0
"2008-11-10 00:00:00",3756,1519,513,0
"2008-11-11 00:00:00",3463,1315,405,0
"2008-11-12 00:00:00",3991,1433,577,0
"2008-11-13 00:00:00",3808,1325,522,0
"2008-11-14 00:00:00",3530,1232,505,0
"2008-11-15 00:00:00",2705,1450,493,0
"2008-11-16 00:00:00",3573,1333,525,0
"2008-11-17 00:00:00",4490,1380,669,0
"2008-11-18 00:00:00",3960,1493,655,0
"2008-11-19 00:00:00",3557,1352,614,0
"2008-11-20 00:00:00",3654,1381,601,0
"2008-11-21 00:00:00",3523,1107,521,0
"2008-11-22 00:00:00",2559,876,401,0
"2008-11-23 00:00:00",2789,1115,521,0
"2008-11-24 00:00:00",3554,1373,561,0
"2008-11-25 00:00:00",3305,4631,589,0
"2008-11-26 00:00:00",3348,2069,683,0
"2008-11-27 00:00:00",2997,1388,556,0
"2008-11-28 00:00:00",3097,1130,582,0
"2008-11-29 00:00:00",2945,777,370,0
"2008-11-30 00:00:00",2870,957,460,0
"2008-12-01 00:00:00",3876,1233,797,0
"2008-12-02 00:00:00",3789,1261,838,0
"2008-12-03 00:00:00",3830,1400,693,0
"2008-12-04 00:00:00",3875,1183,626,0
"2008-12-05 00:00:00",3618,983,562,0
"2008-12-06 00:00:00",2952,829,516,0
"2008-12-07 00:00:00",3521,1119,481,0
"2008-12-08 00:00:00",3794,1359,514,0
"2008-12-09 00:00:00",3608,1319,593,0
"2008-12-10 00:00:00",4587,1549,976,0
"2008-12-11 00:00:00",3772,2592,849,0
"2008-12-12 00:00:00",3122,1556,645,0
"2008-12-13 00:00:00",2831,930,474,0
"2008-12-14 00:00:00",2861,1041,412,0
"2008-12-15 00:00:00",3345,1890,556,0
"2008-12-16 00:00:00",3257,1405,546,0
"2008-12-17 00:00:00",3639,1173,598,0
"2008-12-18 00:00:00",3208,1136,449,0
"2008-12-19 00:00:00",2852,957,436,0
"2008-12-20 00:00:00",2252,767,354,0
"2008-12-21 00:00:00",2416,864,296,0
"2008-12-22 00:00:00",2749,994,444,0
"2008-12-23 00:00:00",2579,904,346,0
"2008-12-24 00:00:00",2139,473,252,0
"2008-12-25 00:00:00",1607,729,262,0
"2008-12-26 00:00:00",1979,818,312,0
"2008-12-27 00:00:00",2025,822,266,0
"2008-12-28 00:00:00",2119,811,316,0
"2008-12-29 00:00:00",2659,918,334,0
"2008-12-30 00:00:00",2831,849,300,0
"2008-12-31 00:00:00",2196,580,264,0
"2009-01-01 00:00:00",1745,747,252,0
"2009-01-02 00:00:00",2386,887,394,0
"2009-01-03 00:00:00",2468,786,360,0
"2009-01-04 00:00:00",3188,1431,324,0
"2009-01-05 00:00:00",4401,1969,546,0
"2009-01-06 00:00:00",3404,2163,490,0
"2009-01-07 00:00:00",3375,1937,441,0
"2009-01-08 00:00:00",3329,2655,1087,0
"2009-01-09 00:00:00",2996,1402,388,0
"2009-01-10 00:00:00",2740,1104,357,0
"2009-01-11 00:00:00",3569,1365,344,0
"2009-01-12 00:00:00",4133,1569,481,0
"2009-01-13 00:00:00",3937,2173,449,0
"2009-01-14 00:00:00",3651,1559,530,0
"2009-01-15 00:00:00",3651,1550,469,0
"2009-01-16 00:00:00",3010,1339,377,0
"2009-01-17 00:00:00",2466,966,335,0
"2009-01-18 00:00:00",2644,1261,392,0
"2009-01-19 00:00:00",3519,1545,454,0
"2009-01-20 00:00:00",3152,1531,391,0
"2009-01-21 00:00:00",3250,1405,507,0
"2009-01-22 00:00:00",3240,1321,454,0
"2009-01-23 00:00:00",3783,1792,456,0
"2009-01-24 00:00:00",2463,1071,330,0
"2009-01-25 00:00:00",2728,1235,378,0
"2009-01-26 00:00:00",3167,1610,460,0
"2009-01-27 00:00:00",3327,1645,505,0
"2009-01-28 00:00:00",4320,1632,495,0
"2009-01-29 00:00:00",3463,1367,465,0
"2009-01-30 00:00:00",3069,1188,519,0
"2009-01-31 00:00:00",2664,966,360,0
"2009-02-01 00:00:00",2705,1458,664,0
"2009-02-02 00:00:00",3091,1980,522,0
"2009-02-03 00:00:00",3797,10643,583,0
"2009-02-04 00:00:00",3586,2850,496,0
"2009-02-05 00:00:00",3596,1821,518,0
"2009-02-06 00:00:00",3194,1356,395,0
"2009-02-07 00:00:00",2401,1132,370,0
"2009-02-08 00:00:00",2867,1557,422,0
"2009-02-09 00:00:00",3809,1589,529,0
"2009-02-10 00:00:00",3772,1783,483,0
"2009-02-11 00:00:00",3548,8770,439,0
"2009-02-12 00:00:00",3989,1870,421,0
"2009-02-13 00:00:00",4986,1350,402,0
"2009-02-14 00:00:00",2815,914,352,0
"2009-02-15 00:00:00",2648,1828,337,0
"2009-02-16 00:00:00",3341,1525,536,0
"2009-02-17 00:00:00",3868,1516,462,0
"2009-02-18 00:00:00",3563,1492,499,0
"2009-02-19 00:00:00",3563,1342,473,0
"2009-02-20 00:00:00",3453,1110,469,0
"2009-02-21 00:00:00",2614,846,335,0
"2009-02-22 00:00:00",2732,1167,408,0
"2009-02-23 00:00:00",4323,1328,447,0
"2009-02-24 00:00:00",3970,1506,474,0
"2009-02-25 00:00:00",4024,1356,457,0
"2009-02-26 00:00:00",3845,1420,504,0
"2009-02-27 00:00:00",3523,1198,446,0
"2009-02-28 00:00:00",2696,964,321,0
"2009-03-01 00:00:00",3004,1219,423,0
"2009-03-02 00:00:00",3902,2192,456,0
"2009-03-03 00:00:00",3557,1619,527,0
"2009-03-04 00:00:00",3746,1448,489,0
"2009-03-05 00:00:00",3456,1399,441,0
"2009-03-06 00:00:00",3377,1146,374,0
"2009-03-07 00:00:00",2682,909,318,0
"2009-03-08 00:00:00",2995,1280,419,0
"2009-03-09 00:00:00",3331,1516,545,0
"2009-03-10 00:00:00",3793,1450,447,0
"2009-03-11 00:00:00",3680,1360,466,0
"2009-03-12 00:00:00",3788,1424,528,0
"2009-03-13 00:00:00",3466,1193,425,0
"2009-03-14 00:00:00",2425,829,321,0
"2009-03-15 00:00:00",2750,1218,340,0
"2009-03-16 00:00:00",3628,1703,471,0
"2009-03-17 00:00:00",3534,1484,560,0
"2009-03-18 00:00:00",3724,1406,801,0
"2009-03-19 00:00:00",3585,1557,621,0
"2009-03-20 00:00:00",3299,1151,524,0
"2009-03-21 00:00:00",2634,790,383,0
"2009-03-22 00:00:00",3227,1398,513,0
"2009-03-23 00:00:00",4170,1502,559,0
"2009-03-24 00:00:00",3587,1467,581,0
"2009-03-25 00:00:00",3614,1354,630,0
"2009-03-26 00:00:00",3825,1336,516,0
"2009-03-27 00:00:00",3710,1180,512,0
"2009-03-28 00:00:00",2721,857,391,0
"2009-03-29 00:00:00",3163,1018,396,0
"2009-03-30 00:00:00",4285,1294,550,0
"2009-03-31 00:00:00",3804,1377,492,0
"2009-04-01 00:00:00",3690,1251,556,0
"2009-04-02 00:00:00",3636,1221,504,0
"2009-04-03 00:00:00",3467,1034,481,0
"2009-04-04 00:00:00",2783,769,378,0
"2009-04-05 00:00:00",2975,988,369,0
"2009-04-06 00:00:00",4516,1640,513,0
"2009-04-07 00:00:00",3981,1235,508,0
"2009-04-08 00:00:00",4058,1117,495,0
"2009-04-09 00:00:00",3697,976,465,0
"2009-04-10 00:00:00",3695,843,444,0
"2009-04-11 00:00:00",2866,609,311,0
"2009-04-12 00:00:00",3034,742,273,0
"2009-04-13 00:00:00",4110,996,416,0
"2009-04-14 00:00:00",4017,1176,514,0
"2009-04-15 00:00:00",4116,1217,531,0
"2009-04-16 00:00:00",3914,1250,461,0
"2009-04-17 00:00:00",3253,1199,450,0
"2009-04-18 00:00:00",2886,834,388,0
"2009-04-19 00:00:00",3138,874,358,0
"2009-04-20 00:00:00",18301,2432,774,0
"2009-04-21 00:00:00",13262,3778,661,0
"2009-04-22 00:00:00",5898,1667,584,0
